FitchEntityID;OPERATING_ROAA;TOTAL_EQUITY_TOTAL_ASSETS;LA_to_TA;NET_LOANS_TOTAL_ASSETS
1024701;0.62;6.26;7.408046146549788;65.08
1003167;1.45;11.38;17.342587881871264;23.21
1006220;1.08;9.93;7.384876304243631;83.48
1003918;2.05;9.48;5.514463566459172;73.06
105357;1.11;10.2;12.825684504729043;63.18
107081;0.56;5.67;16.70054394162392;52.87
107547;0.77;6.71;12.367917332486703;70.11
105336;1.22;6.11;22.573559819289798;54.84
116324;1.28;6.43;19.29520903599209;48.75
1470459;0.7;8.76;2.562572198690071;82.35
1003068;1.7;30.87;11.472294798275138;63.92
134016;0.41;6.48;13.177251876005508;84.06
1003127;1.26;14.56;16.832666718951078;72.91
134599;1.31;9.32;2.0898005482558815;87.83
1101218;0.8;6.07;6.224873889329972;65.91
1000342;0.4;6.8;8.804409644147794;72.65
1004334;0.36;7.13;22.65055219837172;69.64
1318392;0.43;5.57;1.755648664627724;87.23
1046048;0.86;10.65;0.710646248899199;90.33
1003143;1.74;13.9;10.074984495686346;83.99
1181890;0.47;7.56;2.1635190054989906;78.25
136153;0.62;4.99;11.961604620126948;78.4
1437570;1.73;13.4;5.303695684046788;84.93
1101210;0.4;6.53;2.078894327670835;90.04
1367414;0.28;11.42;22.020458871563424;77.13
1181870;0.84;6.67;1.1277161455957119;85.86
1456241;0.03;5.59;79.98934496889764;18.88
1003533;0.69;7.94;22.724641875267753;35.66
1048387;0.98;12.09;9.2698236397911;88.16
100301;1.08;5.53;19.53016643550624;63.11
107525;0.92;6.25;30.290453507708786;50.97
4303;1.14;6.73;27.692174903007082;55.11
110728;1.05;5.88;23.263187111755716;47.9
100236;1.24;6.14;34.9061262989002;44.74
111447;1.01;5.52;31.37450320754026;55.51
1003129;0.65;11.55;18.488942173885757;8.07
1007759;1.0;9.01;15.544811792289936;64.52
1005466;0.94;5.92;13.678290913995786;52.23
1269610;1.22;10.99;29.34129271305064;40.27
1322053;0.38;17.84;46.43222616686105;21.37
1315770;0.12;32.51;59.41997073572942;32.47
1174771;0.52;7.78;5.583107963500005;49.34
1152890;1.15;7.68;8.195847943372742;48.34
1038567;1.2;5.1;8.301368564604221;31.78
1174770;1.16;5.39;21.869106457322516;37.22
1041917;1.18;5.76;17.09110449107614;33.04
1002363;1.19;7.68;11.2041841880566;40.72
1003066;0.68;6.37;8.466535728890737;41.39
1003466;0.98;6.93;6.536071284503555;37.59
1307733;0.66;5.71;14.389977777507056;32.46
1503040;1.76;6.13;16.56234464181138;46.19
1194550;0.84;6.64;8.95906448382802;42.18
1293332;0.87;5.35;3.280934022579965;37.64
1126230;1.26;5.53;14.866457602940548;26.33
1293333;0.95;5.13;20.14268591146589;34.9
1005218;0.66;6.22;8.142752406404487;32.93
1038566;1.07;7.18;7.108212135195615;47.95
1152810;1.013;6.705;24.389176981721832;51.898
1293334;0.61;8.32;11.83868755263393;41.98
1169790;0.8;6.35;7.079711529688031;41.72
