date;ford;sandp;ustb3m;oil
2001-01-01;15.454666;1366.01001;4.84;28.700001
2001-02-01;15.411097;1239.939941;4.72;27.42
2001-03-01;15.582887;1160.329956;4.18;26.4
2001-04-01;16.336536;1249.459961;3.83;26.4
2001-05-01;13.631827;1255.819946;3.54;28.370001
2001-06-01;13.743798;1224.380005;3.56;26.25
2001-07-01;14.258834;1211.22998;3.44;26.25
2001-08-01;11.123795;1133.579956;3.28;27.200001
2001-09-01;9.828797;1040.939941;2.3;23.43
2001-10-01;9.092343;1059.780029;2.01;21.18
2001-11-01;10.830753;1139.449951;1.73;19.440001
2001-12-01;8.989415;1148.079956;1.67;19.84
2002-01-01;8.749237;1130.199951;1.72;19.48
2002-02-01;8.567704;1106.72998;1.72;21.85
2002-03-01;9.494718;1147.390015;1.74;26.23
2002-04-01;9.212584;1076.920044;1.73;27.290001
2002-05-01;10.162634;1067.140015;1.705;25.35
2002-06-01;9.270524;989.820007;1.659;26.860001
2002-07-01;7.804625;911.619995;1.665;27.02
2002-08-01;6.871692;916.070007;1.645;28.98
2002-09-01;5.721543;815.280029;1.527;28.98
2002-10-01;4.93921;885.76001;1.417;27.219999
2002-11-01;6.724529;936.309998;1.202;26.889999
2002-12-01;5.495442;879.820007;1.182;26.889999
2003-01-01;5.383166;855.700012;1.148;33.509998
2003-02-01;4.968266;841.150024;1.175;36.599998
2003-03-01;4.490551;848.179993;1.09;31.040001
2003-04-01;6.15062;916.919983;1.101;25.799999
2003-05-01;6.331402;963.590027;1.085;29.559999
2003-06-01;6.626865;974.5;0.838;29.559999
2003-07-01;6.669074;990.309998;0.927;30.540001
2003-08-01;7.035533;1008.01001;0.96;31.57
2003-09-01;6.554731;995.969971;0.926;29.200001
2003-10-01;7.382443;1050.709961;0.932;29.110001
2003-11-01;8.098966;1058.199951;0.908;30.41
2003-12-01;9.816928;1111.920044;0.907;32.52
2004-01-01;8.921136;1131.130005;0.897;33.049999
2004-02-01;8.489685;1144.939941;0.927;33.049999
2004-03-01;8.378549;1126.209961;0.923;35.759998
2004-04-01;9.483747;1107.300049;0.952;37.380001
2004-05-01;9.226418;1120.680054;1.052;39.880001
2004-06-01;9.723461;1140.839966;1.303;37.049999
2004-07-01;9.145643;1101.719971;1.412;43.799999
2004-08-01;8.825964;1104.23999;1.568;43.799999
2004-09-01;8.788431;1114.579956;1.674;49.639999
2004-10-01;8.150414;1130.199951;1.867;51.759998
2004-11-01;8.937767;1173.819946;2.182;49.130001
2004-12-01;9.227709;1211.920044;2.182;43.450001
2005-01-01;8.301158;1181.27002;2.422;48.200001
2005-02-01;8.034123;1203.599976;2.69;51.75
2005-03-01;7.195779;1180.589966;2.722;55.400002
2005-04-01;5.785838;1156.849976;2.837;49.720001
2005-05-01;6.406247;1191.5;2.882;49.720001
2005-06-01;6.573144;1191.329956;3.06;56.5
2005-07-01;6.894097;1234.180054;3.332;60.57
2005-08-01;6.459084;1220.329956;3.43;68.940002
2005-09-01;6.38782;1228.810059;3.47;66.239998
2005-10-01;5.390128;1207.01001;3.805;59.759998
2005-11-01;5.332547;1249.47998;3.857;57.32
2005-12-01;5.063624;1248.290039;3.985;61.040001
2006-01-01;5.627707;1280.079956;4.37;61.040001
2006-02-01;5.288958;1280.660034;4.507;61.41
2006-03-01;5.282322;1294.869995;4.515;66.629997
2006-04-01;4.612077;1310.609985;4.65;71.879997
2006-05-01;4.818357;1270.089966;4.715;71.290001
2006-06-01;4.663577;1270.199951;4.86;73.980003
2006-07-01;4.48861;1276.660034;4.935;74.400002
2006-08-01;5.673808;1303.819946;4.905;70.260002
2006-09-01;5.484002;1335.849976;4.76;62.91
2006-10-01;5.612798;1377.939941;4.94;62.91
2006-11-01;5.511117;1400.630005;4.89;63.130001
2006-12-01;5.090835;1418.300049;4.885;61.049999
2007-01-01;5.511117;1438.23999;4.975;58.139999
2007-02-01;5.361985;1406.819946;4.995;61.790001
2007-03-01;5.348427;1420.859985;4.895;65.870003
2007-04-01;5.450109;1482.369995;4.725;65.870003
2007-05-01;5.65347;1530.619995;4.59;64.010002
2007-06-01;6.385575;1503.349976;4.67;70.68
2007-07-01;5.76871;1455.27002;4.81;70.68
2007-08-01;5.294198;1473.98999;3.99;74.040001
2007-09-01;5.755153;1526.75;3.7;81.660004
2007-10-01;6.012744;1549.380005;3.82;94.529999
2007-11-01;5.090835;1481.140015;3.07;88.709999
2007-12-01;4.562093;1468.359985;3.14;95.980003
2008-01-01;4.501085;1378.550049;1.87;91.75
2008-02-01;4.426518;1330.630005;1.785;101.839996
2008-03-01;3.87744;1322.699951;1.275;101.580002
2008-04-01;5.599241;1385.589966;1.34;113.459999
2008-05-01;4.609544;1400.380005;1.85;127.349998
2008-06-01;3.260575;1280.0;1.705;127.349998
2008-07-01;3.253796;1267.380005;1.635;124.080002
2008-08-01;3.023319;1282.829956;1.69;115.459999
2008-09-01;3.524945;1166.359985;0.9;100.639999
2008-10-01;1.484545;968.75;0.435;67.809998
2008-11-01;1.823481;896.23999;0.02;54.43
2008-12-01;1.552332;903.25;0.115;44.599998
2009-01-01;1.267625;825.880005;0.22;41.68
2009-02-01;1.355748;735.090027;0.25;41.68
2009-03-01;1.782809;797.869995;0.2;51.119999
2009-04-01;4.053689;872.809998;0.125;51.119999
2009-05-01;3.897776;919.140015;0.13;66.309998
2009-06-01;4.114697;919.320007;0.18;69.889999
2009-07-01;5.422994;987.47998;0.175;69.449997
2009-08-01;5.151844;1020.619995;0.13;69.959999
2009-09-01;4.887473;1057.079956;0.115;70.610001
2009-10-01;4.745119;1036.189941;0.045;77.0
2009-11-01;6.026303;1095.630005;0.05;77.0
2009-12-01;6.778742;1115.099976;0.05;79.360001
2010-01-01;7.348155;1073.869995;0.07;72.889999
2010-02-01;7.958242;1104.48999;0.115;79.660004
2010-03-01;8.520878;1169.430054;0.15;83.760002
2010-04-01;8.82592;1186.689941;0.155;86.150002
2010-05-01;7.951466;1089.410034;0.15;73.970001
2010-06-01;6.83297;1030.709961;0.17;75.629997
2010-07-01;8.656454;1101.599976;0.14;78.949997
2010-08-01;7.653198;1049.329956;0.135;78.949997
2010-09-01;8.29718;1141.199951;0.155;79.970001
2010-10-01;9.578362;1183.26001;0.11;81.43
2010-11-01;10.805313;1180.550049;0.16;84.110001
2010-12-01;11.381509;1257.640015;0.115;91.379997
2011-01-01;10.812095;1286.119995;0.145;92.190002
2011-02-01;10.202008;1327.219971;0.135;96.970001
2011-03-01;10.107104;1325.829956;0.09;106.720001
2011-04-01;10.486714;1363.609985;0.04;113.93
2011-05-01;10.113881;1345.199951;0.04;113.93
2011-06-01;9.347882;1320.640015;0.015;95.419998
2011-07-01;8.276843;1292.280029;0.09;95.699997
2011-08-01;7.537961;1218.890015;0.015;88.809998
2011-09-01;6.555044;1131.420044;0.01;79.199997
2011-10-01;7.917571;1253.300049;0.005;93.190002
2011-11-01;7.185468;1246.959961;0.015;100.360001
2011-12-01;7.293924;1257.599976;0.005;98.830002
2012-01-01;8.419196;1312.410034;0.055;98.830002
2012-02-01;8.425017;1365.680054;0.075;107.07
2012-03-01;8.493074;1408.469971;0.065;103.019997
2012-04-01;7.676428;1397.910034;0.09;103.019997
2012-05-01;7.217555;1310.329956;0.06;86.529999
2012-06-01;6.554578;1362.160034;0.08;84.959999
2012-07-01;6.315361;1379.319946;0.1;84.959999
2012-08-01;6.383709;1406.579956;0.085;96.470001
2012-09-01;6.775784;1440.670044;0.09;92.190002
2012-10-01;7.669142;1412.160034;0.105;86.239998
2012-11-01;7.90659;1416.180054;0.075;88.910004
2012-12-01;8.942389;1426.189941;0.035;91.82
2013-01-01;8.942389;1498.109985;0.065;97.489998
2013-02-01;8.77173;1514.680054;0.1;92.050003
2013-03-01;9.147363;1569.189941;0.065;97.230003
2013-04-01;9.536907;1597.569946;0.045;93.459999
2013-05-01;10.907273;1630.73999;0.03;91.970001
2013-06-01;10.840261;1606.280029;0.03;96.559998
2013-07-01;11.828282;1685.72998;0.03;105.029999
2013-08-01;11.411599;1632.969971;0.02;107.650002
2013-09-01;11.890901;1681.550049;0.005;107.650002
2013-10-01;12.060063;1756.540039;0.033;96.379997
2013-11-01;12.107673;1805.810059;0.055;92.720001
2013-12-01;10.938022;1848.359985;0.063;92.720001
2014-01-01;10.604847;1782.589966;0.01;97.489998
2014-02-01;10.99711;1859.449951;0.043;102.589996
2014-03-01;11.147167;1872.339966;0.028;101.580002
2014-04-01;11.540177;1883.949951;0.02;99.739998
2014-05-01;11.839207;1923.569946;0.03;102.709999
2014-06-01;12.415325;1960.22998;0.02;102.709999
2014-07-01;12.256891;1930.670044;0.018;98.169998
2014-08-01;12.627584;2003.369995;0.018;95.959999
2014-09-01;10.727283;1972.290039;0.013;91.160004
2014-10-01;10.219567;2018.050049;0.003;80.540001
2014-11-01;11.510683;2067.560059;0.005;66.150002
2014-12-01;11.342377;2058.899902;0.037;53.27
2015-01-01;10.764283;1994.98999;0.005;48.240002
2015-02-01;12.079073;2104.5;0.008;48.240002
2015-03-01;11.931224;2067.889893;0.025;59.630001
2015-04-01;11.679884;2085.51001;0.005;59.630001
2015-05-01;11.319898;2107.389893;0.003;60.299999
2015-06-01;11.200506;2063.110107;0.01;59.470001
2015-07-01;11.066186;2103.840088;0.058;47.119999
