Unnamed: 0,Country,Frequency,TIME,Unemployement
0,AUS,A,1967,1.875
1,AUS,A,1968,1.85
2,AUS,A,1969,1.8
3,AUS,A,1970,1.625
4,AUS,A,1971,1.925
5,AUS,A,1972,2.625
6,AUS,A,1973,2.325
7,AUS,A,1974,2.7
8,AUS,A,1975,4.925
9,AUS,A,1976,4.75
10,AUS,A,1977,5.65
11,AUS,A,1978,6.442533
12,AUS,A,1979,6.265499
13,AUS,A,1980,6.106246
14,AUS,A,1981,5.783571
15,AUS,A,1982,7.156132
16,AUS,A,1983,9.961594
17,AUS,A,1984,8.98968
18,AUS,A,1985,8.262986
19,AUS,A,1986,8.081038000000001
20,AUS,A,1987,8.108039999999999
21,AUS,A,1988,7.227953999999999
22,AUS,A,1989,6.179825
23,AUS,A,1990,6.922999999999999
24,AUS,A,1991,9.576522
25,AUS,A,1992,10.72814
26,AUS,A,1993,10.87467
27,AUS,A,1994,9.72219
28,AUS,A,1995,8.472281
29,AUS,A,1996,8.506114
30,AUS,A,1997,8.362488
31,AUS,A,1998,7.677428999999999
32,AUS,A,1999,6.8737910000000015
33,AUS,A,2000,6.285546
34,AUS,A,2001,6.742172999999998
35,AUS,A,2002,6.368911
36,AUS,A,2003,5.92842
37,AUS,A,2004,5.396734
38,AUS,A,2005,5.033881
39,AUS,A,2006,4.78524
40,AUS,A,2007,4.379151
41,AUS,A,2008,4.23433
42,AUS,A,2009,5.560385
43,AUS,A,2010,5.2133400000000005
44,AUS,A,2011,5.081195
45,AUS,A,2012,5.223376
46,AUS,A,2013,5.66194
47,AUS,A,2014,6.077244
48,AUS,A,2015,6.0564230000000014
49,AUS,A,2016,5.710301
50,AUS,A,2017,5.59376
51,AUS,A,2018,5.299855
52,AUT,A,1993,3.958333
53,AUT,A,1994,4.241667
54,AUT,A,1995,4.241667
55,AUT,A,1996,4.733333
56,AUT,A,1997,4.733333
57,AUT,A,1998,4.725
58,AUT,A,1999,4.15
59,AUT,A,2000,3.933333
60,AUT,A,2001,3.983333
61,AUT,A,2002,4.383333
62,AUT,A,2003,4.758333
63,AUT,A,2004,5.508333
64,AUT,A,2005,5.633333
65,AUT,A,2006,5.25
66,AUT,A,2007,4.866667
67,AUT,A,2008,4.141667
68,AUT,A,2009,5.325
69,AUT,A,2010,4.841667
70,AUT,A,2011,4.575
71,AUT,A,2012,4.883333
72,AUT,A,2013,5.358333
73,AUT,A,2014,5.641667
74,AUT,A,2015,5.733333
75,AUT,A,2016,6.033333
76,AUT,A,2017,5.516667
77,AUT,A,2018,4.858333
78,BEL,A,1983,10.74167
79,BEL,A,1984,10.8
80,BEL,A,1985,10.10833
81,BEL,A,1986,10.03333
82,BEL,A,1987,9.8
83,BEL,A,1988,8.8
84,BEL,A,1989,7.383333
85,BEL,A,1990,6.55
86,BEL,A,1991,6.441667
87,BEL,A,1992,7.091667
88,BEL,A,1993,8.625
89,BEL,A,1994,9.75
90,BEL,A,1995,9.675
91,BEL,A,1996,9.541667
92,BEL,A,1997,9.216666
93,BEL,A,1998,9.341666
94,BEL,A,1999,8.4
95,BEL,A,2000,6.875
96,BEL,A,2001,6.591667
97,BEL,A,2002,7.525
98,BEL,A,2003,8.175
99,BEL,A,2004,8.391666
100,BEL,A,2005,8.433333
101,BEL,A,2006,8.25
102,BEL,A,2007,7.483333
103,BEL,A,2008,6.975
104,BEL,A,2009,7.891667
105,BEL,A,2010,8.316667
106,BEL,A,2011,7.166667
107,BEL,A,2012,7.566667
108,BEL,A,2013,8.45
109,BEL,A,2014,8.533334
110,BEL,A,2015,8.5
111,BEL,A,2016,7.858333
112,BEL,A,2017,7.1
113,BEL,A,2018,5.9583330000000005
114,CAN,A,1955,4.408333
115,CAN,A,1956,3.433333
116,CAN,A,1957,4.65
117,CAN,A,1958,7.066667
118,CAN,A,1959,5.991667
119,CAN,A,1960,6.991667
120,CAN,A,1961,7.183333
121,CAN,A,1962,5.9583330000000005
122,CAN,A,1963,5.5833330000000005
123,CAN,A,1964,4.7083330000000005
124,CAN,A,1965,3.95
125,CAN,A,1966,3.375
126,CAN,A,1967,3.833333
127,CAN,A,1968,4.525
128,CAN,A,1969,4.425
129,CAN,A,1970,5.675
130,CAN,A,1971,6.2
131,CAN,A,1972,6.233333
132,CAN,A,1973,5.566667
133,CAN,A,1974,5.3333330000000005
134,CAN,A,1975,6.916667
135,CAN,A,1976,7.0833330000000005
136,CAN,A,1977,8.058333
137,CAN,A,1978,8.383333
138,CAN,A,1979,7.55
139,CAN,A,1980,7.55
140,CAN,A,1981,7.633333
141,CAN,A,1982,11.03333
142,CAN,A,1983,12.03333
143,CAN,A,1984,11.35
144,CAN,A,1985,10.66667
145,CAN,A,1986,9.675
146,CAN,A,1987,8.833333
147,CAN,A,1988,7.766667
148,CAN,A,1989,7.566667
149,CAN,A,1990,8.15
150,CAN,A,1991,10.325
151,CAN,A,1992,11.19167
152,CAN,A,1993,11.4
153,CAN,A,1994,10.41667
154,CAN,A,1995,9.508333
155,CAN,A,1996,9.608334
156,CAN,A,1997,9.116667
157,CAN,A,1998,8.283334
158,CAN,A,1999,7.591667
159,CAN,A,2000,6.816667
160,CAN,A,2001,7.216667
161,CAN,A,2002,7.675
162,CAN,A,2003,7.575
163,CAN,A,2004,7.191667
164,CAN,A,2005,6.758333
165,CAN,A,2006,6.3333330000000005
166,CAN,A,2007,6.05
167,CAN,A,2008,6.141667
168,CAN,A,2009,8.35
169,CAN,A,2010,8.058333
170,CAN,A,2011,7.525
171,CAN,A,2012,7.291666999999999
172,CAN,A,2013,7.0833330000000005
173,CAN,A,2014,6.908333
174,CAN,A,2015,6.908333
175,CAN,A,2016,6.991667
176,CAN,A,2017,6.341667
177,CAN,A,2018,5.8333330000000005
178,CZE,A,1993,4.308333
179,CZE,A,1994,4.291667
180,CZE,A,1995,4.008333
181,CZE,A,1996,3.891667
182,CZE,A,1997,4.775
183,CZE,A,1998,6.466667
184,CZE,A,1999,8.7
185,CZE,A,2000,8.775
186,CZE,A,2001,8.125
187,CZE,A,2002,7.291666999999999
188,CZE,A,2003,7.775
189,CZE,A,2004,8.291667
190,CZE,A,2005,7.941667
191,CZE,A,2006,7.133333
192,CZE,A,2007,5.325
193,CZE,A,2008,4.408333
194,CZE,A,2009,6.683333
195,CZE,A,2010,7.291666999999999
196,CZE,A,2011,6.716667
197,CZE,A,2012,6.975
198,CZE,A,2013,6.966667
199,CZE,A,2014,6.116667
200,CZE,A,2015,5.058333
201,CZE,A,2016,3.966667
202,CZE,A,2017,2.9083330000000003
203,CZE,A,2018,2.266667
204,DNK,A,1983,8.366667
205,DNK,A,1984,7.916666999999999
206,DNK,A,1985,6.658333
207,DNK,A,1986,4.991667
208,DNK,A,1987,5.033333
209,DNK,A,1988,5.658333
210,DNK,A,1989,6.816667
211,DNK,A,1990,7.175
212,DNK,A,1991,7.85
213,DNK,A,1992,8.6
214,DNK,A,1993,9.55
215,DNK,A,1994,7.7
216,DNK,A,1995,6.716667
217,DNK,A,1996,6.3333330000000005
218,DNK,A,1997,5.241667
219,DNK,A,1998,4.866667
220,DNK,A,1999,5.166667
221,DNK,A,2000,4.325
222,DNK,A,2001,4.525
223,DNK,A,2002,4.5833330000000005
224,DNK,A,2003,5.408333
225,DNK,A,2004,5.5
226,DNK,A,2005,4.841667
227,DNK,A,2006,3.908333
228,DNK,A,2007,3.75
229,DNK,A,2008,3.708333
230,DNK,A,2009,6.408333
231,DNK,A,2010,7.766667
232,DNK,A,2011,7.758333
233,DNK,A,2012,7.8
234,DNK,A,2013,7.391667
235,DNK,A,2014,6.883333
236,DNK,A,2015,6.3
237,DNK,A,2016,6.008333
238,DNK,A,2017,5.816667
239,DNK,A,2018,5.116667
240,FIN,A,1988,4.2083330000000005
241,FIN,A,1989,3.108333
242,FIN,A,1990,3.166667
243,FIN,A,1991,6.608333
244,FIN,A,1992,11.70833
245,FIN,A,1993,16.34167
