ident	perf	subv	etrg	nouveau	titu	nbr
906	693	67	9	11	76	247
889	570	92	21	33	79	463
887	546	97	29	36	68	395
876	571	90	27	27	87	418
888	478	89	30	44	87	520
4284	858	10	3	10	100	343
4271	918	5	2	16	100	303
2910	831	2	3	44	96	1513
2899	860	5	6	10	100	660
2887	737	29	15	17	96	362
2911	851	1	2	16	100	768
2882	536	71	69	8	100	404
2907	847	3	2	11	97	586
2908	765	13	8	19	98	633
2895	809	7	8	16	89	379
2880	813	22	11	12	100	417
2890	856	7	6	13	100	670
3948	712	40	12	19	85	589
3956	805	10	1	26	93	770
3947	678	37	16	16	83	694
3952	619	57	25	24	75	611
3954	713	29	14	14	80	594
3943	704	57	19	22	69	564
3945	523	69	43	31	71	645
4293	655	65	44	21	100	414
4299	523	74	52	23	87	631
4318	521	74	63	15	94	343
4319	709	18	16	20	96	404
4296	505	75	59	27	94	504
4317	762	18	16	15	100	512
4322	722	11	21	20	95	637
4307	603	71	54	19	88	594
4302	657	67	36	17	100	500
4314	705	46	42	32	96	320
4292	754	25	25	18	100	309
4304	490	71	54	25	65	748
4308	698	44	18	21	100	527
600	843	25	6	17	91	465
596	800	56	6	41	94	451
611	857	13	4	12	100	432
595	713	63	35	15	92	524
592	804	38	8	33	97	427
602	864	24	5	35	100	562
5222	940	0	2	3	90	305
5210	792	9	3	19	84	467
5217	887	3	5	14	93	520
3644	775	26	13	18	93	816
3643	822	16	10	47	95	830
3624	806	21	6	25	90	487
3623	816	16	6	18	100	307
3629	553	86	38	32	95	819
3622	686	75	33	24	98	744
4017	483	79	40	24	87	672
58	801	20	12	18	89	416
70	753	25	19	14	85	286
65	903	7	8	21	77	488
657	454	100	53	21	93	656
697	440	100	67	19	88	577
646	519	93	33	19	100	523
640	512	84	33	24	98	672
629	525	92	41	15	98	678
659	486	90	44	27	94	680
699	437	90	70	17	93	700
637	447	100	51	22	100	396
663	518	86	22	18	93	495
633	479	100	59	21	94	929
690	424	100	36	20	87	205
2982	536	93	84	14	92	570
3000	628	75	74	25	84	485
2997	627	71	71	15	96	410
3005	596	65	46	20	100	224
2972	664	72	71	13	91	306
3011	655	56	52	19	96	447
2977	616	75	65	23	93	432
3013	538	80	82	19	91	544
3024	727	60	50	24	100	547
3004	822	8	4	10	87	313
3010	638	80	71	11	93	705
2460	581	70	26	14	63	182
2479	784	23	25	21	58	166
2459	871	14	15	15	83	404
105	567	62	43	20	80	626
94	620	51	20	20	88	242
93	761	15	3	21	86	267
116	513	82	56	16	46	558
3236	912	6	7	22	97	611
3240	883	7	20	35	100	440
3241	844	12	14	21	100	381
3256	880	11	7	11	90	503
3250	894	4	4	13	97	466
3247	858	4	8	17	95	357
3258	847	7	7	17	100	388
1497	604	100	68	12	37	591
1478	553	100	70	11	73	637
1474	657	64	19	25	90	403
1511	492	89	48	42	44	810
1539	700	80	51	11	83	295
1490	590	89	58	16	58	837
1500	777	37	11	15	84	669
1515	667	85	52	18	80	621
1512	769	47	20	17	95	467
1475	650	78	33	21	85	262
1522	561	100	86	8	48	795
1472	561	83	28	21	45	750
1516	597	100	71	15	68	590
1489	568	84	55	16	78	1029
1493	637	78	30	28	59	891
1606	588	61	1	20	73	285
1866	821	48	9	20	82	393
1747	559	100	74	11	84	419
1905	693	50	4	11	81	353
1699	542	99	53	10	67	414
2077	840	33	25	11	100	276
1959	621	82	45	17	86	320
1914	487	91	48	22	72	717
1685	686	62	21	10	85	278
1757	463	88	75	24	75	631
2087	476	90	70	10	71	852
1946	821	21	4	12	76	405
1821	412	100	77	8	62	1264
1881	394	99	42	22	68	629
1862	815	24	18	15	100	300
1932	694	56	24	24	81	361
1919	433	100	74	15	50	859
1788	560	72	1	26	73	321
1664	572	76	44	12	90	380
1885	605	68	31	15	81	277
1682	755	27	2	10	84	283
1853	475	95	64	21	67	307
2082	520	95	53	27	48	1036
1806	406	100	75	15	59	699
1997	471	99	46	15	64	743
1701	664	52	22	19	64	371
1926	457	91	74	31	66	1059
1633	584	97	61	15	86	244
1690	735	71	24	10	80	388
1696	536	77	9	18	50	528
1775	771	31	11	16	81	328
1673	483	100	76	12	59	492
1863	387	96	80	14	53	1013
1990	650	75	64	9	80	848
1752	467	100	70	16	77	621
1782	548	70	59	14	83	336
1995	756	17	4	14	90	455
1638	440	97	54	20	45	1149
1815	581	100	63	23	80	290
1709	515	96	66	18	61	726
1812	917	6	3	8	95	436
1742	657	63	23	22	63	403
1799	723	41	11	15	85	807
1907	506	79	7	24	56	637
1924	569	76	28	13	73	306
1781	466	94	13	16	73	715
1897	660	55	31	14	80	559
1596	536	95	70	13	61	514
1868	486	96	75	16	47	617
1909	453	98	53	13	61	570
1600	683	63	5	21	64	428
1894	459	99	69	8	77	833
1895	456	95	65	20	58	821
1889	612	83	20	19	81	259
1741	387	99	75	21	66	761
1769	420	98	91	31	67	1529
1941	495	96	41	21	57	1127
1744	552	97	86	10	69	1009
1680	744	31	2	22	81	326
1858	477	98	56	22	42	446
2074	474	89	64	28	75	450
1949	696	66	22	17	96	373
1903	592	100	67	8	80	443
1651	650	73	40	7	56	722
1723	369	99	83	16	60	1009
1783	437	99	90	9	65	943
1634	551	76	59	16	67	167
2088	429	92	78	15	62	768
1925	435	98	72	14	73	965
1851	747	47	14	19	95	239
1616	512	88	27	13	85	297
2092	474	98	65	14	52	587
1652	850	12	5	5	94	235
1820	551	83	37	17	76	651
1791	482	100	67	35	75	787
1677	534	100	49	22	67	259
1836	506	87	22	22	72	213
1743	556	86	56	18	81	372
1801	457	100	59	21	79	333
1678	497	95	66	18	67	1112
1731	719	79	48	15	69	367
1961	582	89	67	26	68	401
1900	486	96	84	19	69	739
1740	521	99	64	12	79	484
1977	386	96	65	23	46	364
1952	397	98	84	8	54	1004
1625	631	65	18	23	82	464
1994	428	97	43	24	59	922
1978	894	13	1	22	93	615
1805	421	99	86	9	83	1081
1704	524	97	53	9	61	338
1597	532	100	74	7	75	1007
1872	674	72	44	7	57	151
1729	589	82	43	20	73	245
1612	437	97	71	25	51	704
1621	717	72	29	20	90	236
1763	586	80	50	19	79	499
1854	470	98	45	17	50	703
1611	474	100	73	12	65	738
1778	699	67	35	21	70	665
1615	657	75	6	26	81	508
1795	759	33	18	19	94	355
2080	493	82	67	20	65	1570
1671	853	37	16	15	92	311
416	866	1	1	11	100	517
425	657	45	11	16	100	510
419	850	12	5	13	100	422
402	893	7	4	16	93	382
430	745	17	3	17	89	240
406	719	31	6	17	100	384
412	783	46	5	21	100	333
413	615	75	36	17	91	419
3070	479	91	82	14	94	396
3072	763	15	19	18	100	187
3060	669	48	40	19	91	235
3051	892	3	1	20	100	523
3055	590	66	52	10	87	198
194	514	76	48	16	76	602
211	386	75	48	14	57	413
182	411	81	45	22	64	494
167	774	69	51	7	95	255
203	844	11	2	6	100	179
187	498	77	30	19	78	322
201	624	59	16	13	100	191
210	432	90	29	17	58	595
184	435	87	70	4	69	643
165	449	71	21	19	45	367
181	724	15	3	18	93	196
198	894	9	2	7	95	213
2240	599	76	12	20	61	198
2247	508	77	43	16	44	333
2267	897	11	1	13	75	547
2278	457	93	62	16	53	684
2282	582	64	25	20	86	312
4448	903	2	12	7	100	696
4435	863	5	10	12	100	393
4449	844	3	13	15	100	462
4431	858	6	5	21	100	672
4427	802	21	11	11	100	541
4443	875	4	9	9	100	606
3698	720	55	9	19	100	332
3696	483	89	43	38	100	334
3715	696	50	11	23	100	495
3697	690	65	5	26	100	319
3700	717	77	11	29	100	351
3701	687	62	18	19	100	318
3518	623	60	23	16	94	384
3511	688	40	10	23	92	554
3520	643	63	29	19	87	573
3516	574	65	21	24	84	243
3525	632	51	18	19	91	555
3537	694	12	4	15	89	617
3519	532	62	36	19	87	541
3523	657	48	14	23	89	515
3535	705	20	6	15	96	490
3765	758	45	10	21	94	207
3736	556	61	46	39	96	657
3785	459	98	52	36	100	645
3741	573	100	51	31	100	434
3757	707	57	11	22	100	309
3751	592	100	22	35	100	222
3791	724	49	20	24	100	401
3772	829	22	7	14	100	329
3758	690	98	51	10	100	230
3794	610	100	47	31	100	170
3793	528	99	35	27	96	358
3759	585	54	11	27	100	133
3784	859	18	1	9	100	406
3754	732	63	8	37	100	292
3196	799	21	8	12	98	560
3203	845	14	4	12	97	410
3200	854	6	1	13	97	586
3184	790	26	15	17	95	539
3202	839	12	3	17	100	203
3187	689	51	36	13	90	519
3193	841	6	5	17	97	510
4132	493	94	41	33	73	590
4128	643	82	24	19	85	522
4131	698	62	29	15	98	583
4173	486	95	40	24	87	645
4167	612	75	26	16	100	277
4140	630	67	21	21	85	607
4145	525	78	18	25	86	439
4143	485	94	40	37	76	583
4136	474	92	34	28	81	470
4488	521	97	77	14	79	210
4576	801	32	18	14	98	548
4506	709	59	17	20	100	135
4554	836	29	27	17	100	231
4518	769	47	6	13	96	295
4486	706	62	15	13	100	645
4537	655	78	27	16	100	438
4585	845	31	24	25	100	469
4573	789	41	27	16	100	575
4534	445	100	70	10	90	512
4581	708	74	2	24	98	603
4507	751	71	19	20	100	130
4522	461	100	74	22	85	726
4530	757	58	14	16	98	525
4583	865	40	8	17	100	344
4485	567	81	45	26	97	400
4558	748	62	21	11	95	253
4480	612	79	34	15	82	354
4533	500	95	69	24	97	350
4574	740	54	18	14	100	612
4580	740	66	2	19	100	543
4596	883	4	3	9	97	556
4514	799	38	10	14	100	378
4519	887	19	8	10	100	256
4502	493	91	71	27	87	410
4516	586	93	59	21	90	763
4511	626	79	36	11	92	159
4487	528	91	68	10	81	459
4528	741	44	18	17	100	353
4539	620	71	23	14	41	216
4547	803	48	18	17	100	266
4731	655	56	28	13	82	267
4720	597	71	37	8	81	197
4783	789	20	11	4	76	237
4737	808	61	26	7	81	329
4736	532	83	39	10	69	335
4714	503	68	29	10	83	206
4781	655	53	12	7	94	187
4698	781	28	26	9	95	280
4775	808	14	5	3	87	448
4747	643	72	13	12	94	229
4744	700	78	44	5	78	215
4729	558	82	41	8	90	189
4780	795	15	6	5	77	404
4774	682	35	22	2	80	222
4777	682	75	6	10	63	240
5387	892	2	3	13	78	602
5386	876	9	3	14	96	387
5370	790	17	10	17	96	350
5366	558	57	47	22	100	327
5358	575	56	50	19	92	257
5388	686	28	23	13	95	281
5371	710	37	23	18	71	344
5362	487	62	47	21	86	310
3867	762	23	1	8	100	337
3848	801	27	1	19	95	317
3834	640	69	42	22	95	297
3833	601	100	24	31	85	269
3828	624	78	12	36	86	290
3839	863	14	1	18	100	355
3843	709	52	3	24	100	339
3854	883	20	1	24	96	394
3845	763	40	2	24	80	300
3850	727	40	1	29	100	146
3864	568	78	30	36	75	321
3853	743	48	2	27	92	367
3869	724	48	25	19	90	457
3826	831	11	2	9	88	318
3824	876	23	1	21	95	399
3835	556	100	28	32	79	410
3865	847	9	0	8	95	312
3822	622	76	6	38	95	222
3129	531	82	74	13	83	602
3128	521	90	74	12	75	779
3127	473	95	86	15	71	590
3121	529	88	75	13	83	611
3145	806	32	14	20	91	695
3133	744	58	35	13	88	688
3151	444	91	88	14	70	593
6068	714	45	21	13	96	368
6072	865	5	0	4	100	451
6057	641	45	17	13	100	657
6065	772	11	2	16	96	374
6062	750	21	4	15	100	397
6060	738	18	2	13	97	392
4879	529	83	28	16	80	352
4871	554	84	24	23	83	535
4875	504	90	46	19	83	657
4859	592	80	33	22	92	532
4877	627	86	35	16	80	612
4880	625	59	8	19	93	559
4881	436	100	49	19	80	363
4876	487	86	26	26	80	300
4868	610	84	34	27	82	331
4862	516	100	35	33	72	704
4878	465	90	27	21	74	466
5920	654	48	15	16	100	364
5917	735	42	4	16	100	360
5927	576	68	26	21	96	657
5926	469	91	54	17	100	391
5933	515	91	28	32	88	218
469	543	82	25	23	80	400
468	783	31	6	15	96	317
482	745	27	12	11	95	266
489	720	34	8	20	85	461
504	802	26	10	21	91	360
488	539	98	12	18	93	301
479	512	98	34	31	83	269
