date;year;ford;sandp;ustb3m
2000-06-01;2000;13.186012;1454.599976;5.7
2000-07-01;2000;14.278451;1430.829956;6.02
2000-08-01;2000;13.104752;1517.680054;6.11
2000-09-01;2000;13.815863;1436.51001;6.03
2000-10-01;2000;14.15449;1429.400024;6.15
2000-11-01;2000;12.472288;1314.949951;6.01
2000-12-01;2000;12.8492;1320.280029;5.73
2001-01-01;2001;15.454676;1366.01001;4.84
2001-02-01;2001;15.411098999999998;1239.939941;4.72
2001-03-01;2001;15.582888;1160.329956;4.18
2001-04-01;2001;16.33654;1249.459961;3.83
2001-05-01;2001;13.631828;1255.819946;3.54
2001-06-01;2001;13.743793;1224.380005;3.56
2001-07-01;2001;14.258838;1211.22998;3.44
2001-08-01;2001;11.123797;1133.579956;3.28
2001-09-01;2001;9.828798;1040.939941;2.3
2001-10-01;2001;9.092344;1059.780029;2.01
2001-11-01;2001;10.830757;1139.449951;1.73
2001-12-01;2001;8.989413;1148.079956;1.67
2002-01-01;2002;8.749235;1130.199951;1.72
2002-02-01;2002;8.567706;1106.72998;1.72
2002-03-01;2002;9.494722;1147.390015;1.74
2002-04-01;2002;9.212585;1076.920044;1.73
2002-05-01;2002;10.162636;1067.140015;1.705
2002-06-01;2002;9.270529;989.820007;1.659
2002-07-01;2002;7.804625;911.619995;1.665
2002-08-01;2002;6.871689999999999;916.070007;1.645
2002-09-01;2002;5.721543;815.280029;1.527
2002-10-01;2002;4.939211;885.76001;1.417
2002-11-01;2002;6.724530000000001;936.309998;1.202
2002-12-01;2002;5.4954410000000005;879.820007;1.182
2003-01-01;2003;5.383168;855.7000119999999;1.148
2003-02-01;2003;4.968267;841.150024;1.175
2003-03-01;2003;4.490549;848.179993;1.09
2003-04-01;2003;6.15062;916.919983;1.101
2003-05-01;2003;6.331398;963.590027;1.085
2003-06-01;2003;6.626867;974.5;0.838
2003-07-01;2003;6.669074;990.309998;0.927
2003-08-01;2003;7.035533;1008.01001;0.96
2003-09-01;2003;6.554728999999999;995.969971;0.926
2003-10-01;2003;7.382438;1050.709961;0.932
2003-11-01;2003;8.098969;1058.199951;0.908
2003-12-01;2003;9.81693;1111.920044;0.907
2004-01-01;2004;8.921134;1131.130005;0.897
2004-02-01;2004;8.489684;1144.939941;0.927
2004-03-01;2004;8.378547;1126.209961;0.923
2004-04-01;2004;9.483747;1107.300049;0.952
2004-05-01;2004;9.226418;1120.680054;1.052
2004-06-01;2004;9.723461;1140.839966;1.303
2004-07-01;2004;9.145647;1101.719971;1.412
2004-08-01;2004;8.825959;1104.23999;1.568
2004-09-01;2004;8.788433;1114.579956;1.674
2004-10-01;2004;8.15041;1130.199951;1.867
2004-11-01;2004;8.937769;1173.819946;2.182
2004-12-01;2004;9.227708;1211.920044;2.182
2005-01-01;2005;8.301159;1181.27002;2.422
2005-02-01;2005;8.034122;1203.599976;2.69
2005-03-01;2005;7.195778999999999;1180.589966;2.722
2005-04-01;2005;5.78584;1156.849976;2.837
2005-05-01;2005;6.406244999999999;1191.5;2.882
2005-06-01;2005;6.573142;1191.329956;3.06
2005-07-01;2005;6.894096;1234.180054;3.332
2005-08-01;2005;6.459084;1220.329956;3.43
2005-09-01;2005;6.387821;1228.810059;3.47
2005-10-01;2005;5.390129;1207.01001;3.805
2005-11-01;2005;5.332547;1249.47998;3.857
2005-12-01;2005;5.063624;1248.290039;3.985
2006-01-01;2006;5.627707;1280.079956;4.37
2006-02-01;2006;5.288958999999999;1280.660034;4.507
2006-03-01;2006;5.282322;1294.869995;4.515
2006-04-01;2006;4.6120790000000005;1310.609985;4.65
2006-05-01;2006;4.818358;1270.089966;4.715
2006-06-01;2006;4.663577;1270.199951;4.86
2006-07-01;2006;4.488608999999999;1276.660034;4.935
2006-08-01;2006;5.673807;1303.819946;4.905
2006-09-01;2006;5.484001999999999;1335.849976;4.76
2006-10-01;2006;5.612798000000001;1377.939941;4.94
2006-11-01;2006;5.511117;1400.630005;4.89
2006-12-01;2006;5.090836;1418.300049;4.885
2007-01-01;2007;5.511117;1438.23999;4.975
2007-02-01;2007;5.361986;1406.819946;4.995
2007-03-01;2007;5.348427;1420.859985;4.895
2007-04-01;2007;5.450108999999999;1482.369995;4.725
2007-05-01;2007;5.653471;1530.619995;4.59
2007-06-01;2007;6.385575;1503.349976;4.67
2007-07-01;2007;5.76871;1455.27002;4.81
2007-08-01;2007;5.2941970000000005;1473.98999;3.99
2007-09-01;2007;5.755153;1526.75;3.7
2007-10-01;2007;6.012743;1549.380005;3.82
2007-11-01;2007;5.090836;1481.140015;3.07
2007-12-01;2007;4.562093;1468.359985;3.14
2008-01-01;2008;4.501086;1378.550049;1.87
2008-02-01;2008;4.426519;1330.630005;1.785
2008-03-01;2008;3.877439;1322.699951;1.275
2008-04-01;2008;5.599241;1385.589966;1.34
2008-05-01;2008;4.609546;1400.380005;1.85
2008-06-01;2008;3.260575;1280.0;1.705
2008-07-01;2008;3.253796;1267.380005;1.635
2008-08-01;2008;3.023319;1282.829956;1.69
2008-09-01;2008;3.524945;1166.359985;0.9
2008-10-01;2008;1.484544;968.75;0.435
2008-11-01;2008;1.823482;896.23999;0.02
2008-12-01;2008;1.552332;903.25;0.115
2009-01-01;2009;1.267625;825.880005;0.22
2009-02-01;2009;1.355749;735.090027;0.25
2009-03-01;2009;1.782809;797.869995;0.2
2009-04-01;2009;4.053688;872.8099980000001;0.125
2009-05-01;2009;3.897778;919.140015;0.13
2009-06-01;2009;4.114696;919.320007;0.18
2009-07-01;2009;5.422994;987.47998;0.175
2009-08-01;2009;5.151845;1020.619995;0.13
2009-09-01;2009;4.887472;1057.079956;0.115
2009-10-01;2009;4.745119;1036.189941;0.045
2009-11-01;2009;6.026301999999999;1095.630005;0.05
2009-12-01;2009;6.778743;1115.099976;0.05
2010-01-01;2010;7.348155;1073.869995;0.07
2010-02-01;2010;7.958244;1104.48999;0.115
2010-03-01;2010;8.520875;1169.430054;0.15
2010-04-01;2010;8.825923;1186.689941;0.155
2010-05-01;2010;7.951464;1089.410034;0.15
2010-06-01;2010;6.832972;1030.709961;0.17
2010-07-01;2010;8.656454;1101.599976;0.14
2010-08-01;2010;7.653202;1049.329956;0.135
2010-09-01;2010;8.297178;1141.199951;0.155
2010-10-01;2010;9.578361;1183.26001;0.11
2010-11-01;2010;10.805316;1180.550049;0.16
2010-12-01;2010;11.38151;1257.640015;0.115
2011-01-01;2011;10.812093;1286.119995;0.145
2011-02-01;2011;10.202007;1327.219971;0.135
2011-03-01;2011;10.107104;1325.829956;0.09
2011-04-01;2011;10.486714;1363.609985;0.04
2011-05-01;2011;10.113883;1345.199951;0.04
2011-06-01;2011;9.347883;1320.640015;0.015
2011-07-01;2011;8.276845;1292.280029;0.09
2011-08-01;2011;7.537961;1218.890015;0.015
2011-09-01;2011;6.555043;1131.420044;0.01
